profundidade, Hreal, Himag, rho 
 -0.1150000000000000E+02, -0.7607106112145079E-01, -0.7395766685986554E-05, 100.0
 -0.1139999961853027E+02, -0.7607107871187348E-01, -0.7533476093972954E-05, 100.0
 -0.1130000019073486E+02, -0.7607109674467721E-01, -0.7677902572451817E-05, 100.0
 -0.1119999980926514E+02, -0.7607111523714553E-01, -0.7829504171534434E-05, 100.0
 -0.1110000038146973E+02, -0.7607113420753626E-01, -0.7988779996057786E-05, 100.0
 -0.1100000000000000E+02, -0.7607115367515821E-01, -0.8156274832405470E-05, 100.0
 -0.1089999961853027E+02, -0.7607117366044777E-01, -0.8332584409968039E-05, 100.0
 -0.1080000019073486E+02, -0.7607119418506332E-01, -0.8518361401437138E-05, 100.0
 -0.1069999980926514E+02, -0.7607121527197792E-01, -0.8714322285031990E-05, 100.0
 -0.1060000038146973E+02, -0.7607123694559206E-01, -0.8921255216145272E-05, 100.0
 -0.1050000000000000E+02, -0.7607125923184910E-01, -0.9140029085487025E-05, 100.0
 -0.1039999961853027E+02, -0.7607128215837188E-01, -0.9371603976995665E-05, 100.0
 -0.1030000019073486E+02, -0.7607130575460504E-01, -0.9617043283670291E-05, 100.0
 -0.1019999980926514E+02, -0.7607133005198219E-01, -0.9877527795404336E-05, 100.0
 -0.1010000038146973E+02, -0.7607135508410594E-01, -0.1015437214260233E-04, 100.0
 -0.1000000000000000E+02, -0.7607138088695199E-01, -0.1044904406711169E-04, 100.0
 -0.9899999618530273E+01, -0.7607140749909896E-01, -0.1076318710269001E-04, 100.0
 -0.9800000190734863E+01, -0.7607143496198411E-01, -0.1109864738874728E-04, 100.0
 -0.9699999809265137E+01, -0.7607146332019334E-01, -0.1145750552114153E-04, 100.0
 -0.9600000381469727E+01, -0.7607149262178987E-01, -0.1184211457754440E-04, 100.0
 -0.9500000000000000E+01, -0.7607152291868616E-01, -0.1225514575734751E-04, 100.0
 -0.9399999618530273E+01, -0.7607155426706977E-01, -0.1269964347341031E-04, 100.0
 -0.9300000190734863E+01, -0.7607158672788782E-01, -0.1317909225574736E-04, 100.0
 -0.9199999809265137E+01, -0.7607162036740653E-01, -0.1369749852731566E-04, 100.0
 -0.9100000381469727E+01, -0.7607165525785471E-01, -0.1425949125036264E-04, 100.0
 -0.9000000000000000E+01, -0.7607169147817226E-01, -0.1487044671849979E-04, 100.0
 -0.8899999618530273E+01, -0.7607172911487914E-01, -0.1553664452548016E-04, 100.0
 -0.8800000190734863E+01, -0.7607176826309925E-01, -0.1626546417937255E-04, 100.0
 -0.8699999809265137E+01, -0.7607180902776355E-01, -0.1706563526453081E-04, 100.0
 -0.8600000381469727E+01, -0.7607185152503704E-01, -0.1794755895422098E-04, 100.0
