 profundidade, Hcp_real, Hcp_imag, Hcx_real, Hcx_imag, rho
 -0.1150000000000000E+02, -0.7607106377759497E-01, -0.7399504612118964E-05,  0.1544660855834577E+00, -0.1408073465950649E-04, 100.0
 -0.1139999961853027E+02, -0.7607108140833113E-01, -0.7537305721401098E-05,  0.1544660491629676E+00, -0.1434322878245137E-04, 100.0
 -0.1130000019073486E+02, -0.7607109948237969E-01, -0.7681826903138268E-05,  0.1544660118302612E+00, -0.1461863690994580E-04, 100.0
 -0.1119999980926514E+02, -0.7607111801705264E-01, -0.7833526332420437E-05,  0.1544659735498580E+00, -0.1490784214554795E-04, 100.0
 -0.1110000038146973E+02, -0.7607113703063886E-01, -0.7992903245552974E-05,  0.1544659342842827E+00, -0.1521180683967398E-04, 100.0
 -0.1100000000000000E+02, -0.7607115654247820E-01, -0.8160502566962284E-05,  0.1544658939939134E+00, -0.1553158152593313E-04, 100.0
 -0.1089999961853027E+02, -0.7607117657304048E-01, -0.8336920171478492E-05,  0.1544658526368165E+00, -0.1586831508446467E-04, 100.0
 -0.1080000019073486E+02, -0.7607119714401707E-01, -0.8522808884795039E-05,  0.1544658101685639E+00, -0.1622326633251249E-04, 100.0
 -0.1069999980926514E+02, -0.7607121827841730E-01, -0.8718885346285518E-05,  0.1544657665420345E+00, -0.1659781728079957E-04, 100.0
 -0.1060000038146973E+02, -0.7607124000067898E-01, -0.8925937881198504E-05,  0.1544657217071917E+00, -0.1699348834082311E-04, 100.0
 -0.1050000000000000E+02, -0.7607126233678342E-01, -0.9144835559282257E-05,  0.1544656756108414E+00, -0.1741195582515309E-04, 100.0
 -0.1039999961853027E+02, -0.7607128531439430E-01, -0.9376538653336476E-05,  0.1544656281963593E+00, -0.1785507215325287E-04, 100.0
 -0.1030000019073486E+02, -0.7607130896299857E-01, -0.9622110755733361E-05,  0.1544655794033951E+00, -0.1832488926198189E-04, 100.0
 -0.1019999980926514E+02, -0.7607133331407273E-01, -0.9882732866874882E-05,  0.1544655291675350E+00, -0.1882368582805257E-04, 100.0
 -0.1010000038146973E+02, -0.7607135840126605E-01, -0.1015971983957809E-04,  0.1544654774199322E+00, -0.1935399904469540E-04, 100.0
 -0.1000000000000000E+02, -0.7607138426060223E-01, -0.1045453965086975E-04,  0.1544654240868920E+00, -0.1991866186422927E-04, 100.0
 -0.9899999618530273E+01, -0.7607141093070988E-01, -0.1076883608329574E-04,  0.1544653690894014E+00, -0.2052084683315035E-04, 100.0
 -0.9800000190734863E+01, -0.7607143845307772E-01, -0.1110445553961201E-04,  0.1544653123426099E+00, -0.2116411791897038E-04, 100.0
 -0.9699999809265137E+01, -0.7607146687234835E-01, -0.1146347889457361E-04,  0.1544652537552351E+00, -0.2185249207797980E-04, 100.0
 -0.9600000381469727E+01, -0.7607149623664183E-01, -0.1184825952140099E-04,  0.1544651932288939E+00, -0.2259051276430102E-04, 100.0
 -0.9500000000000000E+01, -0.7607152659793019E-01, -0.1226146893312991E-04,  0.1544651306573437E+00, -0.2338333816672483E-04, 100.0
 -0.9399999618530273E+01, -0.7607155801246417E-01, -0.1270615187518573E-04,  0.1544650659256160E+00, -0.2423684772841220E-04, 100.0
 -0.9300000190734863E+01, -0.7607159054125798E-01, -0.1318579323093008E-04,  0.1544649989090234E+00, -0.2515777151892258E-04, 100.0
 -0.9199999809265137E+01, -0.7607162425064645E-01, -0.1370439979889466E-04,  0.1544649294720246E+00, -0.2615384838081114E-04, 100.0
 -0.9100000381469727E+01, -0.7607165921293162E-01, -0.1426660094055473E-04,  0.1544648574669074E+00, -0.2723402059319622E-04, 100.0
 -0.9000000000000000E+01, -0.7607169550712953E-01, -0.1487777337456112E-04,  0.1544647827322669E+00, -0.2840867526860426E-04, 100.0
